priority,category,adapter,product_line,official_status,project_status,required_work,source
P0,product_line,bitget,futures,"官方支持 Futures","当前 bitget 只接 Spot","补 Bitget Futures adapter 或扩展现有 adapter；优先 public/private WS 和下单撤单","产品线官方核验_P0_主流交易所.md"
P0,product_line,gateio,perpetual/delivery/options,"官方支持 Perpetual/Delivery/Options","当前 gateio 只接 Spot","补 futures/options 产品线 mapping；先补 perpetual depth/order/account","产品线官方核验_P0_主流交易所.md"
P0,product_line,mexc,contract/futures,"官方支持 Contract API","当前 mexc 只接 Spot","补 MEXC Contract adapter/mapping、合约 WS、仓位/下单/撤单","产品线官方核验_P0_主流交易所.md"
P1,public_ws_struct,backpack,spot/perp,"官方支持 bookTicker、实时 depth、200/600/1000ms 聚合 depth，有 U/u","public_ws=parser_only，缺 interval","补 depth interval、REST snapshot + update id 重建","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,bitmex,perpetual/spot,"官方支持 orderBookL2_25/orderBook10/orderBookL2/quote；orderBookL2_25 为 100ms","public_ws=native，缺 interval","补 25/10/full channel、100ms、table diff 重建规则","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,deribit,futures/perpetual/option,"官方支持 book.{instrument}.{group}.{depth}.{interval}；depth 1/10/20，interval 100ms/agg2","public_ws=native，缺 channel/depth","补 channel/depth/group/change_id 结构化字段","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,orangex,spot/perpetual,"当前官方文档支持 book.{instrument}.raw，未见固定 100ms","public_ws=spec_only，矩阵有 100ms 旧证据","复核 100ms 来源；以当前 raw/change_id 重建规则为准","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,whitebit,spot/perpetual,"官方支持 depth_subscribe；变化时 100ms；10s 无变化推 full snapshot","public_ws=native，缺 interval","补 100ms、limit、update_id/past_update_id、断档重订阅","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,woo,spot/perpetual,"官方支持 orderbook 1s/100 levels、orderbookupdate 200ms、bbo 10ms","public_ws=native，缺 channel/interval","补 10ms BBO、200ms orderbookupdate、100 levels、prevTs 风险","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,kraken,spot/futures,"Spot book 支持 depth 10/25/100/500/1000 和 CRC32；Futures book 有 seq","public_ws=native，缺 channel/depth/seq","分清 Spot/Futures；补 checksum/seq、depth、无固定 ms","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,coinbase,advanced trade/intx,"Advanced Trade 支持 level2；官方未给固定 book ms","public_ws=native，缺 channel/interval","补 Advanced Trade level2 和 heartbeat；不要和 Exchange level2 混用","WebSocket官方核验_P1_第三批.md"
P1,public_ws_struct,coinbaseexchange,spot,"Coinbase Exchange 支持 level2、level2_batch 50ms、level3/full","public_ws=native，缺 channel/interval","补 level2_batch 50ms、full book、sequence 边界","WebSocket官方核验_P1_第三批.md"
P3,public_ws_struct,bitbank,spot,"官方支持 depth_diff/depth_whole；whole 正常模式 200 asks/200 bids；官方未给固定 ms","public_ws=native，缺 channel/interval/depth","补 Socket.IO join-room、depth_diff/depth_whole、200 档、非连续 sequence 和 whole/diff 重建","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,bithumb,spot,"官方支持 orderbook Public WS；snapshot/realtime 开关；官方未给固定 ms","public_ws=native，缺 channel/interval/depth","补 orderbook request、snapshot/realtime、level 聚合说明、无 sequence/checksum 风险","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,bitopro,spot,"官方 order book stream 更新时每秒推全量；默认 5 档，可选 1/5/10/20/30/50","public_ws=native，缺 interval/depth","补 1s、limit 1/5/10/20/30/50、snapshot-only 和无 sequence 风险","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,bitso,spot,"官方支持 orders top20 和 diff-orders；diff-orders sequence 严格递增","public_ws=payload_helper，缺 channel/interval/depth","补 orders/diff-orders、top20、REST order_book + sequence replay","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,btcmarkets,spot,"官方 WS v2 支持 orderbook；最新 book state 最多 50 bids/50 asks；未给固定 ms","public_ws=spec_only，缺 interval/depth","补 50 档、heartbeat 5s、无 sequence/checksum 的最新快照语义","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,coincheck,spot,"官方支持 [pair]-orderbook；发生交易时约 0.1s 推送；未给固定 depth","public_ws=native，缺 interval/depth","补 0.1s、orderbook diff、无 sequence/checksum、REST snapshot 兜底","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,coinone,spot,"官方 ORDERBOOK 首次推最后订单簿，之后有变更才推；未给固定 ms/depth","public_ws=spec_only，缺 interval/depth","补 ORDERBOOK topic、首包 snapshot、order book id、无 checksum 风险","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,independentreserve,spot,"官方支持 orderbook-{crypto} 事件流；Nonce 严格递增；heartbeat 当前 60s","public_ws=spec_only，缺 interval/depth","补 Subscribe/query 订阅、NewOrder/OrderChanged/OrderCanceled、Nonce 丢包重建","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,luno,spot,"官方 market stream 先推当前订单簿，再尽快推 updates；需要 API key credentials","public_ws=native，缺 channel/interval/depth","补 wss://ws.luno.com/api/1/stream/:pair、sequence、全量初始 book、错序重连","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,upbit,spot,"官方 orderbook WS 支持 1/5/15/30 units；官方未给固定 ms","public_ws=native，缺 channel/interval/depth","补 region URL、orderbook {code}.{count}、1/5/15/30、无 sequence/checksum 风险","WebSocket官方核验_P2_区域现货交易所.md"
P3,public_ws_struct,bitfinex,spot/margin/perpetual,"官方支持 book WS：freq F0 realtime/F1 2s，len 1/25/100/250，prec P0-P4，可选 checksum/sequence/bulk","public_ws=spec_only，缺 channel/interval/depth","补 book channel、prec/freq/len、OB_CHECKSUM/SEQ_ALL、snapshot/update 重建","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,bitflyer,spot/cfd_fx,"官方支持 lightning_board_snapshot 与 lightning_board；JSON-RPC over WS；官方未给固定 ms/depth","public_ws=native，缺 channel/interval/depth","补 snapshot+diff channel、无固定 ms/depth、无 sequence/checksum、REST getboard 重建","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,bitmart,spot,"官方支持 depth5/20/50 500ms、depth/increase100 100ms、bookTicker BBO real-time","public_ws=spec_only，缺 channel/interval","补 spot/depth/increase100、spot/depth5/20/50、bookTicker、version 断档重建","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,bitstamp,spot,"官方 WebSocket v2 real-time；项目已记录 order_book/diff_order_book；官方可抓取资料未给固定 ms/depth","public_ws=declared，缺 interval/depth","补无固定 ms/depth、REST order_book 和 order_data gap recovery 风险字段","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,bitvavo,spot,"官方 book subscription 变化推送；nonce 顺序重建；官方未给固定 ms，book event 不限制深度","public_ws=native，缺 interval/depth","补 book channel、nonce +1 校验、snapshot depth 初始化和无 checksum 风险","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,cryptocom,spot/perpetual,"官方 book.{instrument}.{depth} 支持 delta 10/100ms，depth 10/50，u/pu 断档重订阅","public_ws=native，缺 interval/depth","补 10ms/100ms、10/50 档、SNAPSHOT_AND_UPDATE、u/pu sequence 重建","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,phemex,spot/perpetual,"官方 orderbook.subscribe/orderbook_p.subscribe 支持约 20ms，depth 0/1/5/10/30，sequence","public_ws=native，缺 interval/depth","补 20ms/120ms/full 100ms、depth 0/1/5/10/30、60s snapshot 自校验","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,poloniex,spot/perpetual,"官方 Spot/Futures V3 支持 book_lv2；real time；20 level；id/lastId 或 id/lid 断档规则","public_ws=native，缺 interval/depth","补 20 档、real-time、spot lastId/futures lid、重订阅重建","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,coinex,spot,"官方 depth.subscribe 推送约 200ms，limit 5/10/20/50，支持 checksum 和 full/incremental","public_ws=native，缺 channel/interval/depth","补 depth.subscribe、200ms、limit、merge interval、signed CRC32 checksum","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,coinmate,spot,"官方 public WS demo 支持 order_book-{PAIR}；未给固定 ms/depth/sequence/checksum","public_ws=payload_helper，缺 interval/depth","补 order_book-{PAIR}、无固定 ms/depth、无 sequence/checksum、REST snapshot fallback","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,coinmetro,spot,"官方 WS pairs query 支持 bookUpdate，含 seqNumber 和 CRC32 checksum；tick 始终含 ask/bid","public_ws=native，缺 interval/depth","补 pairs query、bookUpdate checksum/seqNumber、tick BBO、无固定 ms/depth","WebSocket官方核验_P4_CEX盘口细项.md"
P3,public_ws_struct,coindcx,spot/futures,"官方 Socket.IO 支持 depth-update；现货示例 B-BTC_USDT@orderbook@20；项目记录 @50 spot/futures","public_ws=declared，缺 depth 细项","补 Socket.IO join、20/50 depth 边界、无固定 ms/sequence/checksum、REST snapshot 重建","WebSocket官方核验_P4_CEX盘口细项.md"
P2,explicit_unsupported,binancecoinm,spot,"COIN-M API 不提供现货","当前未声明 Spot","单交易所文档写交易所不支持现货；现货走 binance","产品线官方核验_P0_主流交易所.md"
P2,explicit_unsupported,kucoinfutures,spot,"KuCoin Futures API 不提供现货","当前未声明 Spot","单交易所文档写交易所不支持现货；现货走 kucoin","产品线官方核验_P0_主流交易所.md"
P2,explicit_unsupported,krakenfutures,spot,"Kraken Futures API 不提供现货","当前未声明 Spot","单交易所文档写交易所不支持现货；现货走 kraken","产品线官方核验_P0_主流交易所.md"
P2,explicit_unsupported,coinbaseexchange,contract,"Coinbase Exchange API 是 spot exchange API","当前未声明合约","单交易所文档写交易所不支持合约；永续走 coinbase INTX","产品线官方核验_P0_主流交易所.md"
P2,explicit_unsupported,binanceus,contract,"本轮官方 API 资料只见 Spot/Wallet/User Data Stream","当前未声明合约","单交易所文档写交易所不支持合约，并标后续如官方开放需重核","产品线官方核验_P0_主流交易所.md"
P2,explicit_unsupported,cod3x,spot,"Cod3x 是 AI perps trading terminal；未见 Cod3x-native 现货 exchange API","当前未声明 Spot","单交易所文档写交易所不支持现货；下游 Hyperliquid/GMX/Lighter 不并入 Cod3x adapter","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,derive_chain_perps,spot,"该 adapter 是 Derive Chain perpetual settlement/profile，不重复 Derive 平台 spot","当前未声明 Spot","单交易所文档按 profile 写交易所不支持现货；Derive 其他产品线走 derive 或后续任务","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,equation,spot,"Equation V3 官方定位为 perpetual protocol / Perpetual DEX","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,zeta_markets,spot/trading/runtime,"Zeta Markets 官方说明已于 2025-05 停止运营","当前未声明 Spot；WS/trading unsupported","单交易所文档写交易所不支持现货，并写不支持当前交易/私有接口/公共 WS runtime","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,aark,spot,"Aark Perpetual Mode 是 Orderly-powered decentralized perpetual futures market","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,aftermath,spot,"Aftermath Perpetuals 是 Sui fully onchain perpetual futures exchange","当前未声明 Spot","单交易所文档按 aftermath perps adapter 写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,d8x,spot,"D8X 官方定位为 institutional-grade perpetual futures engine","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,grvt,spot,"GRVT 当前公开交易主线为 perpetuals；spot 需等官方上线后重核","当前未声明 Spot","单交易所文档写交易所不支持现货；期权/传统资产合约另行补语义","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,hibachi,spot,"Hibachi 官方交易文档是 perpetual contract/orderbook/funding，未见现货订单生命周期","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,explicit_unsupported,modetrade,spot,"Mode Trade 是 Mode Perpetuals DEX / Orderly EVM profile，未见 ModeTrade-native spot exchange API","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P1_链上合约交易所.md"
P2,product_line,bsx,spot,"BSX 官方资料描述 spot and perpetuals exchange","当前只声明 perpetual","写项目未实现 Spot；决定是否新增 BSX Spot profile/adapter","产品线官方核验_P1_链上合约交易所.md"
P2,product_line,lighter,spot,"Lighter 官方 API/WebSocket 文档出现 spot market stats 和 spot market 结构","当前只声明 perpetual","写项目未实现 Spot；决定是否扩展 lighter spot market mapping","产品线官方核验_P1_链上合约交易所.md"
P2,product_line,mango_markets,spot/openbook,"Mango v4 一手技术资料包含 Spot/OpenBook 线索","当前只声明 margin/perpetual","写项目未实现 Spot/OpenBook；当前 adapter 不接入 spot","产品线官方核验_P1_链上合约交易所.md"
P2,product_line,apex,spot,"ApeX Omni API 出现 Spot account/wallet 线索","当前只声明 perpetual","写项目未实现 Spot；补 ApeX spot account/market/order lifecycle 前不要写交易所不支持","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,apollox_dex,spot,"ApolloX spot API family 与 APX/ApolloX V1/V2 perpetual profile 分离","当前只声明 perpetual","写项目未实现 Spot/当前 adapter 不接 spot API family","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,aster,spot,"Aster 官方有 Spot API 和 Futures API","当前只声明 perpetual","写项目未实现 Spot；决定是否新增 Aster Spot mapping","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,blofin,spot,"BloFin 官方帮助中心和 Academy 明确有 spot trading","当前只声明 perpetual","写项目未实现 Spot；单独核验 Spot API 下单/撤单是否公开稳定","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,delta,spot,"Delta 用户手册列出 Spot、Futures、Options、MOVE Options","当前只声明 futures/option/perpetual","写项目未实现 Spot；补 Delta spot 产品线前不要写交易所不支持","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,deribit,spot,"Deribit API instrument kind 包含 spot，Support 列出 Spot Instruments","当前只声明 futures/option/perpetual","写项目未实现 Spot；补 spot instrument/orderbook/order lifecycle","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,derive,spot,"Derive 官方 About 说明支持 options、perpetuals 和 spot trading","当前只声明 option/perpetual","写项目未实现 Spot；不要与 derive_chain_perps profile 混淆","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,dydx,spot,"dYdX 2025-12-11 公告 Solana spot trading 已上线","当前只声明 perpetual","写项目未实现 Spot；核验 Solana spot API/前端 routing 是否进入 gateway","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,hyperliquid,spot,"Hyperliquid 官方有 spotMeta/spot asset ctx 和 HIP-1 spot order books","当前只声明 perpetual","写项目未实现 Spot；补 spotMeta、spot asset ctx、spot order path/asset id 映射","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,paradex,spot,"Paradex 官方交易页列出 Spot Trading","当前只声明 option/perpetual","写项目未实现 Spot；补 Paradex spot markets/order lifecycle","产品线官方核验_P2_衍生品交易所.md"
P2,explicit_unsupported,oxfun,spot,"OX.FUN 官方主线是 perpetual swaps/options-style scope，未见共享 Spot 订单生命周期","当前未声明 Spot","单交易所文档写交易所不支持现货","产品线官方核验_P2_衍生品交易所.md"
P2,explicit_unsupported,pacifica,spot,"Pacifica 官方 Contract Specifications 是 perpetual contracts","当前未声明 Spot","单交易所文档写交易所不支持现货；官方如上线 spot 再重核","产品线官方核验_P2_衍生品交易所.md"
P2,explicit_unsupported,woofipro,spot,"WOOFi Pro 是 Orderly-powered decentralized perpetual futures exchange/API；WOOFi Swap 不是共享 Spot 订单簿","当前未声明 Spot","按 woofipro profile 写交易所不支持现货；不要和 WOO X 或 WOOFi Swap 混用","产品线官方核验_P2_衍生品交易所.md"
P2,product_line,bitflyer,cfd/fx,"bitFlyer 官方 Market List 有 Spot 和 FX；Lightning FX 已由 Crypto CFD 继承","当前声明 margin,spot；未声明标准 futures/perpetual","写项目未实现标准 Futures/Perpetual，或保留 CFD/FX 作为 margin/adapter-specific 边界","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,bitstamp,derivatives,"Bitstamp API 已加入 derivatives public/private endpoints、funding rate 和 derivatives trade history","当前只声明 spot","写项目未实现 Derivatives/Contracts；不能写交易所不支持合约","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,coinex,futures,"CoinEx API v2 明确分 Spot 和 Futures REST/WS 模块","当前只声明 spot","写项目未实现 Futures；决定新增 futures profile 或扩展 adapter","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,gemini,derivatives/perpetuals,"Gemini 官方 Derivatives REST 支持 perpetual contracts 和 derivatives-specific account operations","当前只声明 spot","写项目未实现 Derivatives/Perpetuals；注意区域限制","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,hitbtc,futures/margin derivatives,"HitBTC API v3 有 futures margin account endpoints","当前只声明 spot","写项目未实现 Futures/Margin derivatives；当前 spot runtime 不接 futures","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,kucoin,futures,"KuCoin 官方文档区分 Spot/Margin 与 Futures REST/WS；API 权限含 Futures","当前 kucoin adapter 只声明 spot；项目另有 kucoinfutures","kucoin 文档写合约走 kucoinfutures；不能写交易所不支持合约","产品线官方核验_P3_CEX合约边界.md"
P2,explicit_unsupported,bitvavo,contract,"Bitvavo 官方 API 当前是 Exchange REST/WS/FIX、Market Data Pro、Institutional APIs，未见 futures/perpetual/option 交易接口","当前只声明 spot","按当前官方 API 写交易所不支持合约；如官方上线 derivatives 需重核","产品线官方核验_P3_CEX合约边界.md"
P2,explicit_unsupported,cex,contract,"CEX.IO 当前公开交易文档是 Spot Trading REST/WS","当前只声明 spot","按当前 CEX.IO Spot Trading API 写交易所不支持合约","产品线官方核验_P3_CEX合约边界.md"
P2,product_line,bitbank,margin,"bitbank 官方 REST API 有 Margin status/positions，未见标准 futures/perpetual/options API","当前只声明 spot","写项目未实现 Margin；标准 futures/perpetual/options 按当前 API 口径写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,product_line,bitso,margin_wip,"Bitso Trading API 有 Margin Trading [WIP]，同时有 spot books/orders、OTC/RFQ/conversions","当前只声明 spot","写项目未实现 Margin [WIP]；标准 futures/perpetual/options 写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,product_line,independentreserve,leveraged_trading,"Independent Reserve 官方 features/API 说明有 leveraged trading","当前只声明 spot","写项目未实现 Leveraged trading/Margin-like product；标准 futures/perpetual/options 写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,bitbank,contract,"bitbank 官方 REST API 有 Spot/Margin 相关路径，未见标准 futures/perpetual/options API","当前只声明 spot","单交易所文档写交易所不支持合约；Margin 单独写项目未实现","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,bitso,contract,"Bitso Trading API 有 spot/OTC/RFQ/conversions 和 Margin Trading [WIP]，未见 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约；Margin [WIP] 单独写项目未实现","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,independentreserve,contract,"Independent Reserve 官方资料有 leveraged trading，未见标准 futures/perpetual/options 统一 API","当前只声明 spot","单交易所文档写交易所不支持合约；leveraged trading 单独写项目未实现","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,bithumb,contract,"Bithumb Open API 目录覆盖交易对/订单簿/ticker/orders/assets/deposit/withdraw/TWAP，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,bitopro,contract,"BitoPro Open API 覆盖全站交易对、order book、orders、wallet、REST/WS，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,btcmarkets,contract,"BTC Markets API v3 覆盖 markets、orderbook、orders、account、fund transfer、batch orders，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,coincheck,contract,"Coincheck Exchange API 覆盖 public/private spot trading、balance、withdraw、WebSocket，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,coinone,contract,"Coinone API v2/v2.1 覆盖 public market、private balance/order/withdraw、WS，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,luno,contract,"Luno API 覆盖 accounts、market orderbook/tickers/trades/candles、orders、send/receive/transfers，未见 futures/margin","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,upbit,contract,"Upbit API reference 覆盖余额、交易对、订单、订单簿、ticker、withdraw/deposit、WS，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P4_区域现货交易所.md"
P2,explicit_unsupported,alpaca,contract,"Alpaca crypto 是 Crypto Spot Trading；crypto margin 不适用；证券 Options 不属于 crypto exchange gateway 合约产品线","当前只声明 spot","按 crypto adapter 口径写交易所不支持合约；证券 Options 如纳入需单独设计","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,product_line,bequant,margin/futures/perpetual,"Bequant v3 API 有 Margin、Futures account/order/position 和 trading WS 方法","当前只声明 spot","写项目未实现 Margin/Futures/Perpetual；补 endpoint mapping、仓位、保证金和 WS","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,product_line,biconomy,futures/perpetual,"Biconomy 官方有 Futures 信息页；当前已接稳定 API 面只覆盖 Spot REST/WS","当前只声明 spot","写项目未实现 Futures/Perpetual；先补官方 futures endpoint spec 核验","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,bit2c,contract,"Bit2C 官方 API 列出 NIS 现货 ticker/orderbook/trades/balance/order/cancel，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,product_line,bitbns,margin_trading,"Bitbns 官方站点和官方 SDK/API 文档有 Margin Trading API","当前只声明 spot","写项目未实现 Margin Trading；先补 read-only/account/order 语义核验","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,bitbns,contract,"Bitbns 当前官方资料未见稳定标准 futures/perpetual/options API","当前只声明 spot","标准 futures/perpetual/options 写交易所不支持合约；Margin Trading 单独写项目未实现","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,bitteam,contract,"BIT.TEAM 官方资料覆盖 Spot、P2P 和 CCXT-style spot endpoints，未见标准 futures/perpetual/options","当前只声明 spot","单交易所文档写交易所不支持合约；P2P 不并入中心化订单簿 adapter","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,explicit_unsupported,bittrade,contract,"BitTrade 官方 API 介绍明确当前不支持杠杆交易，账户示例为 spot","当前只声明 spot","单交易所文档写交易所不支持合约","产品线官方核验_P5_区域现货_CEX第二批.md"
P2,product_line,blockchaincom,perps/third_party_interface,"Blockchain.com 官方有 Perps/杠杆相关页面，但 Perps 由 Blockchain app 通过第三方 Hyperliquid 接口提供，不是 Exchange API 标准合约接口","当前只声明 Exchange Spot","若纳入则写项目未实现并单独设计；不要并入现货 adapter","产品线官方核验_P5_区域现货_CEX第二批.md"
